    n_ions  min_t_gate  min_muby2pi  min_t_gate_1e-5  min_muby2pi_1e-5  noopt_inf
0        2        22.0        1.067             22.6             1.059   0.025376
1        3        28.7        1.055             29.5             1.051   0.030384
2        4        26.2        1.051             30.8             1.042   0.023334
3        5        26.8        1.042             34.3             1.041   0.026220
4        6        29.1        1.028             37.4             1.037   0.022648
5        7        33.2        1.040             40.2             1.036   0.023036
6        8        36.1        1.028             43.1             1.036   0.024042
7        9        39.8        1.027             45.1             1.035   0.021908
8       10        43.5        1.039             45.5             1.015   0.005387
9       11        47.9        1.040             51.3             1.037   0.023955
10      12        49.0        1.035             54.3             1.009   0.004467
11      13        41.3        1.055             57.5             1.038   0.023771
12      14        43.1        1.064             60.4             1.039   0.024461
13      15        46.0        1.065             63.4             1.040   0.024956
14      16        48.7        1.066             66.3             1.041   0.025579
15      17        51.6        1.066             69.3             1.042   0.026095
16      18        54.2        1.068             72.4             1.042   0.025338
17      19        57.1        1.069             75.4             1.043   0.025843
18      20        59.7        1.070             78.3             1.044   0.026466
